story_id,lane,length,violation_count,categories,markers
1098,web,long,2,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b
1098,web,short,0,,
1098,web,full,2,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b
1099,web,long,0,,
1099,web,full,0,,
1099,web,full,3,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b;\bcouldn['’]t\b
1099,web,long,5,WEB_CONTRACTION,\bdidn['’]t\b;\bwasn['’]t\b;\bcan['’]t\b;\bdon['’]t\b;\bcouldn['’]t\b
1099,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1099,kjv,short,0,,
1099,web,short,3,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b;\bcouldn['’]t\b
1099,kjv,full,0,,
1099,kjv,long,0,,
1100,kjv,full,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 2, need >= 3"
1100,kjv,long,0,,
1100,kjv,short,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 2, need >= 3"
1100,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1100,web,short,0,,
1100,web,long,4,WEB_CONTRACTION,\bdidn['’]t\b;\bwon['’]t\b;\bcouldn['’]t\b;\bthat['’]s\b
1100,web,full,3,WEB_CONTRACTION,\bdidn['’]t\b;\bcouldn['’]t\b;\bthat['’]s\b
1100,web,long,0,,
1100,web,full,0,,
1101,kjv,full,0,,
1101,web,short,0,,
1101,web,full,0,,
1101,kjv,short,0,,
1102,web,full,0,,
1102,web,long,0,,
1102,web,short,0,,
1102,kjv,short,0,,
1102,kjv,long,0,,
1102,kjv,full,0,,
1103,web,full,0,,
1103,web,long,0,,
1103,kjv,short,0,,
1103,kjv,long,0,,
1103,kjv,full,0,,
1103,web,short,0,,
1104,kjv,full,0,,
1104,kjv,short,0,,
1104,web,full,0,,
1104,web,short,0,,
1105,web,short,0,,
1105,kjv,short,0,,
1105,kjv,full,0,,
1105,kjv,long,0,,
1105,web,long,0,,
1105,web,full,0,,
1106,web,full,0,,
1106,web,short,0,,
1106,kjv,full,0,,
1106,kjv,short,0,,
1107,kjv,short,0,,
1107,web,short,0,,
1107,web,full,0,,
1107,kjv,full,0,,
1108,kjv,full,0,,
1108,kjv,short,0,,
1108,web,short,1,WEB_CONTRACTION,\bcouldn['’]t\b
1108,web,full,1,WEB_CONTRACTION,\bcouldn['’]t\b
1109,kjv,long,0,,
1109,kjv,full,0,,
1109,web,short,2,WEB_CONTRACTION,\baren['’]t\b;\bdon['’]t\b
1109,web,full,2,WEB_CONTRACTION,\baren['’]t\b;\bdon['’]t\b
1109,web,long,2,WEB_CONTRACTION,\baren['’]t\b;\bdon['’]t\b
1109,kjv,short,0,,
1110,web,full,0,,
1110,web,short,0,,
1110,kjv,short,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 2, need >= 3"
1110,kjv,full,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 1, need >= 3"
1111,web,full,0,,
1111,kjv,short,0,,
1111,kjv,full,0,,
1111,web,short,0,,
1112,kjv,full,0,,
1112,kjv,short,0,,
1112,web,short,0,,
1112,web,full,0,,
1113,kjv,full,0,,
1113,web,short,0,,
1113,web,full,0,,
1113,kjv,short,0,,
1114,web,full,0,,
1114,web,short,0,,
1114,kjv,full,0,,
1114,kjv,short,0,,
1115,kjv,short,0,,
1115,web,short,0,,
1115,web,full,0,,
1115,kjv,full,0,,
1116,kjv,short,0,,
1116,web,short,0,,
1117,web,short,0,,
1117,kjv,short,0,,
1118,web,short,0,,
1118,kjv,short,0,,
1119,kjv,short,0,,
1119,web,short,0,,
1120,web,short,0,,
1120,kjv,short,0,,
1121,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1121,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1122,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1122,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1123,web,short,0,,
1124,web,short,0,,
1125,web,short,0,,
1126,web,short,0,,
1127,web,short,0,,
1128,web,short,0,,
1129,web,short,0,,
1130,web,short,0,,
1131,web,short,0,,
1132,web,short,0,,
1133,web,short,0,,
1134,web,short,0,,
1135,web,short,0,,
1136,web,short,0,,
1137,web,short,0,,
1138,web,short,0,,
1139,web,short,0,,
1140,web,short,0,,
1141,web,short,0,,
1142,web,short,0,,
1143,web,short,0,,
1144,web,short,0,,
1145,web,short,0,,
1146,web,short,0,,
1147,web,short,0,,
1148,web,short,0,,
1149,web,short,0,,
1150,web,short,1,WEB_CONTRACTION,\bisn['’]t\b
1151,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1152,web,short,0,,
1153,web,short,0,,
1154,web,short,0,,
1155,web,short,0,,
1156,web,short,2,WEB_CONTRACTION,\bwasn['’]t\b;\bdon['’]t\b
1157,web,short,0,,
1158,web,short,0,,
1159,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1160,web,short,2,WEB_CONTRACTION,\bdon['’]t\b;\bhaven['’]t\b
1161,web,short,0,,
1162,web,short,0,,
1163,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1164,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1165,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1166,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1167,web,short,0,,
1168,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1169,web,short,0,,
1170,web,short,1,WEB_CONTRACTION,\bhaven['’]t\b
1171,web,short,0,,
1172,web,short,0,,
1173,web,short,0,,
1174,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1175,web,short,0,,
1176,web,short,0,,
1177,web,short,0,,
1178,web,short,2,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b
1179,web,short,0,,
1180,web,short,0,,
1181,web,short,0,,
1182,web,short,0,,
1183,web,short,0,,
1184,web,short,0,,
1185,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1186,web,short,0,,
1187,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1188,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1189,web,short,3,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b;\bhaven['’]t\b
1190,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1191,web,short,1,WEB_CONTRACTION,\bcan['’]t\b
1192,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1193,web,short,0,,
1194,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1195,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1196,web,short,0,,
1197,web,short,0,,
1198,web,short,2,WEB_CONTRACTION,\baren['’]t\b;\bdon['’]t\b
1199,web,short,0,,
1200,web,short,0,,
1201,web,short,0,,
1202,web,short,2,WEB_CONTRACTION,\bisn['’]t\b;\baren['’]t\b
1203,web,short,0,,
1204,web,short,0,,
1205,web,short,0,,
1206,web,short,0,,
1207,web,short,0,,
1208,web,short,0,,
1209,web,short,0,,
1210,web,short,0,,
1211,web,short,0,,
1212,web,short,2,WEB_CONTRACTION,\bisn['’]t\b;\bdon['’]t\b
1213,web,short,0,,
1214,web,short,0,,
1215,web,short,0,,
1216,web,short,2,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b
1217,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1218,web,short,0,,
1219,web,short,0,,
1220,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1221,web,short,0,,
1222,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1223,web,short,2,WEB_CONTRACTION,\bcan['’]t\b;\bhaven['’]t\b
1224,web,short,3,WEB_CONTRACTION,\bdidn['’]t\b;\bcan['’]t\b;\bdon['’]t\b
1225,web,short,0,,
1226,web,short,1,WEB_CONTRACTION,\bcan['’]t\b
1227,web,short,2,WEB_CONTRACTION,\bcan['’]t\b;\bdon['’]t\b
1228,web,short,1,WEB_CONTRACTION,\bwouldn['’]t\b
1229,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1230,web,short,1,WEB_CONTRACTION,\bisn['’]t\b
1231,web,short,1,WEB_CONTRACTION,\bcan['’]t\b
1232,web,short,0,,
1233,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1234,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1235,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1236,web,short,2,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b
1237,web,short,0,,
1238,web,short,0,,
1239,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1240,web,short,0,,
1241,web,short,2,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b
1242,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1243,web,short,0,,
1244,web,short,2,WEB_CONTRACTION,\bdon['’]t\b;\bhaven['’]t\b
1245,web,short,0,,
1246,web,short,3,WEB_CONTRACTION,\bisn['’]t\b;\bdon['’]t\b;\bhaven['’]t\b
1247,web,short,3,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b;\bwon['’]t\b
1248,web,short,2,WEB_CONTRACTION,\bcan['’]t\b;\bdon['’]t\b
1249,web,short,1,WEB_CONTRACTION,\bwon['’]t\b
1250,web,short,0,,
1251,web,short,0,,
1252,web,short,0,,
1253,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1254,web,short,0,,
1255,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1256,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1257,web,short,0,,
1257,web,full,1,WEB_CONTRACTION,\bcan['’]t\b
1258,web,short,0,,
1259,web,short,0,,
1260,web,short,0,,
1261,web,short,0,,
1262,web,short,1,WEB_CONTRACTION,\bcouldn['’]t\b
1263,web,short,1,WEB_CONTRACTION,\bcan['’]t\b
1264,web,short,2,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b
1265,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1266,web,short,2,WEB_CONTRACTION,\bdidn['’]t\b;\bI['’]m\b
1267,web,short,0,,
1268,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1269,web,short,0,,
1270,web,short,0,,
1271,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1272,web,short,0,,
1273,web,short,0,,
1274,web,short,0,,
1275,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1276,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1277,web,short,0,,
1278,web,short,2,WEB_CONTRACTION,\bdon['’]t\b;\bwon['’]t\b
1279,web,short,0,,
1280,web,short,0,,
1281,web,short,0,,
1282,web,short,0,,
1283,web,short,0,,
1284,web,short,0,,
1285,web,short,0,,
1286,web,short,2,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b
1287,web,short,1,WEB_CONTRACTION,\bwon['’]t\b
1288,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
1289,web,short,0,,
1290,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1291,web,short,0,,
1292,web,short,0,,
1293,web,short,0,,
1294,web,short,1,WEB_CONTRACTION,\bcan['’]t\b
1295,web,short,0,,
1296,web,short,2,WEB_CONTRACTION,\baren['’]t\b;\bdon['’]t\b
1297,web,short,0,,
1298,web,short,0,,
1299,web,short,0,,
1300,web,short,0,,
1301,web,short,1,WEB_CONTRACTION,\bdon['’]t\b
